zone,grouping,group,model,n,mae,rmse,bias
BE,hour,12,residual,365,12.912023411219238,23.094197971206675,-1.7912046406285371
BE,hour,13,nyx,365,13.544064145470855,31.66229537834979,0.9159811686547579
BE,hour,13,storm,365,14.72228461369863,32.627917158230716,-3.6920691123287677
BE,hour,13,chronos,365,15.730691632414517,35.019022544446244,3.3646117006066723
BE,hour,13,residual,365,13.751606100760807,31.733385248113926,0.3415265547701625
BE,hour,14,nyx,365,13.67588155039816,31.690611629506552,0.47736522213302457
BE,hour,14,storm,365,14.79772945479452,31.23242843694292,-5.020658610958905
BE,hour,14,chronos,365,15.804863669617534,34.799428476189554,2.8458641637514717
BE,hour,14,residual,365,13.802368687865703,31.797417251624847,0.05467934211561393
BE,hour,15,nyx,365,12.050378457462017,19.977572042703905,-0.12466259693405748
BE,hour,15,storm,365,11.725482627397259,19.289260247348214,-4.7094856246575345
BE,hour,15,chronos,365,14.213969238699299,22.82070212677319,1.9761175741953394
BE,hour,15,residual,365,12.293043958959881,20.360764899290707,-0.36578993121768716
BE,hour,16,nyx,365,11.38224356387127,16.017305181095466,-0.9424618620792077
BE,hour,16,storm,365,11.021848819178082,15.50680647781945,-3.9824855205479457
BE,hour,16,chronos,365,13.36942640581523,18.091896409445763,0.2932671316486513
BE,hour,16,residual,365,11.46439297870181,16.166558702203467,-1.3148995079361985
BE,hour,17,nyx,365,11.750361624387958,16.755566660501334,-0.9247600740213274
BE,hour,17,storm,365,11.553396887671234,16.57954644583966,-2.749079671232876
BE,hour,17,chronos,365,12.786908850264876,18.195769415694944,-0.5329878055102204
BE,hour,17,residual,365,11.837195446135633,16.733742227913556,-1.1134821355548985
BE,hour,18,nyx,365,12.17211797247949,19.02258463835822,-2.528563596569173
BE,hour,18,storm,365,12.18439279178082,17.483312933882004,-5.246687460273972
BE,hour,18,chronos,365,12.713851134835856,19.59521882720242,-3.624967633391079
BE,hour,18,residual,365,12.390021842697054,19.267245457811395,-2.8131072006866678
BE,hour,19,nyx,365,16.78823045640477,36.25051828008733,-4.727727816234959
BE,hour,19,storm,365,13.53094950958904,22.320719931835466,-4.2523197561643835
BE,hour,19,chronos,365,17.15055267584814,36.58706881448518,-6.400724246508456
BE,hour,19,residual,365,16.940902323752894,36.54768813081691,-4.871080594051147
BE,hour,20,nyx,365,17.884605852988827,51.22590620421096,-3.783139173466033
BE,hour,20,storm,365,15.056277139726026,46.28459014409304,2.668102443835616
BE,hour,20,chronos,365,17.830301103983842,52.01238649424185,-5.911795504635325
BE,hour,20,residual,365,18.054046143097022,51.460964646549385,-4.081871002720936
BE,hour,21,nyx,365,15.405323541048086,49.735331587816646,-3.0964810755322008
BE,hour,21,storm,365,14.94933697260274,58.754172854986614,5.867556764383561
BE,hour,21,chronos,365,15.281039607217867,50.288125763122814,-4.759738560088693
BE,hour,21,residual,365,15.543538143631183,50.00869033885045,-3.633869887967149
BE,hour,22,nyx,365,11.272305893427697,31.278363264175155,-2.650641047250449
BE,hour,22,storm,365,10.423672778082192,33.0932729870229,0.5354858136986301
BE,hour,22,chronos,365,11.46742129349382,31.92084380564347,-4.019133588817022
BE,hour,22,residual,365,11.405265173157884,31.54015018093674,-3.4004061395462175
BE,hour,23,nyx,365,9.636260160369554,15.690191265522836,0.5451939162214756
BE,hour,23,storm,365,8.906920402739726,12.630937677717181,2.251414271232877
BE,hour,23,chronos,365,9.843663283256635,16.02216783949423,-0.28078609518808884
BE,hour,23,residual,365,9.685160069096817,15.962394138710186,-0.34411159240353223
BE,season,DJF,nyx,2160,6.858507296820389,9.673840364234792,0.29603376299974926
BE,season,DJF,storm,2160,7.275804125,10.148584742460052,0.7594913194444444
BE,season,DJF,chronos,2160,6.958186292930885,9.945842360270447,0.2253912906646729
BE,season,DJF,residual,2160,6.984263709656131,9.794177719760473,0.7336564363008852
BE,season,JJA,nyx,2208,14.942698880888933,36.25910176145258,-2.1873234128310237
BE,season,JJA,storm,2208,13.73912785009058,36.45118962167383,-4.254510680706522
BE,season,JJA,chronos,2208,16.05253084645755,37.19694173221953,-1.24787303544473
BE,season,JJA,residual,2208,14.963587487833157,36.460685370385804,-2.412334236987567
BE,season,MAM,nyx,2207,12.064793553724417,23.815688743098036,-1.5617451309447805
BE,season,MAM,storm,2207,12.820578185319437,23.30771469089854,-4.836031191209787
BE,season,MAM,chronos,2207,13.189804596168507,26.018522824330034,-0.6557110362707569
BE,season,MAM,residual,2207,12.270167380971456,23.972514509179053,-2.656206833799774
BE,season,SON,nyx,2184,10.697385304396409,16.773544314795924,-0.7077237049401147
BE,season,SON,storm,2184,9.818750096611721,14.849813745039134,-2.867588830128205
BE,season,SON,chronos,2185,11.808325342034312,18.049508605114603,-1.0875190445749383
BE,season,SON,residual,2185,10.743185090056949,16.85361482176569,-1.1582104203461874
BE,regime,negative,nyx,330,17.79194075904036,47.38851310878651,4.802361864488503
BE,regime,negative,storm,330,17.400627606060606,45.51402508720467,6.353177999999999
BE,regime,negative,chronos,330,21.61465097138376,53.2561200941443,10.26447765928326
